轮次,损失_D,损失_G,得分_D,得分_G,PSNR,SSIM
1,0.1769147033004181,0.010666626816198819,0.8946457311190924,0.059567538579051456,21.81655816866428,0.672274847877653
2,0.3969799493381013,0.006427921396925261,0.7645674853301037,0.14844825912074489,23.776713947489945,0.6911156574362203
3,0.4318065897552022,0.005903464844695439,0.7628363799827411,0.18420586243796894,24.26523124926025,0.6993686746609838
4,0.41056744500848136,0.005691482867236788,0.7347503138493278,0.1379356630174356,23.945216040527914,0.6999609351158143
5,0.45889204789003246,0.005422357565135156,0.6786956227350083,0.13110367928473993,24.511211379438503,0.7097867943738636
6,0.4657153919113518,0.005310837730250664,0.69063144423341,0.15412817789685174,24.364092496214013,0.6857458563227402
7,0.44145094662775675,0.0051891176191183105,0.7426873275643353,0.18098490351539154,24.262898149300337,0.6855446048473057
8,0.43972426490235844,0.005329872629494945,0.712212256796274,0.1458656712892189,24.375361302373374,0.6984607657319621
9,0.4295384740212413,0.005050409998021726,0.7240811461832235,0.15417077111945215,24.483300089253213,0.7037250465468357
10,0.6254669005920545,0.0050778485560103465,0.6537865693399263,0.2857303847971238,24.530639734843696,0.6996423133109745
11,0.5413009577501524,0.00505501528540136,0.688619601472674,0.23282055385042377,24.62983093494676,0.7033708939426824
12,0.5120202883429629,0.004909827462642601,0.761863646451706,0.268371594724411,24.59369155246357,0.7014027989224384
13,0.48410072271547056,0.0050172088394480705,0.6886516507102608,0.16736029660371335,24.70461941031049,0.7101400477321524
14,0.4905493480182319,0.004894445866015494,0.6988091215286022,0.1928331799989961,24.636732239672074,0.7018201553507855
15,0.4913809478527184,0.004844495197145367,0.6916415265412293,0.1825472624220444,24.644708446056967,0.7084347732757267
16,0.5123475733790156,0.004931641802020175,0.656949237635893,0.16420227017035596,24.694550728025938,0.7029581465219197
17,0.588343697115985,0.004887415469305492,0.612449194735884,0.19869461211832468,24.715420695350183,0.7040748389143693
18,0.6180938170894027,0.0048409416402175436,0.6097299855005526,0.2184945145483397,24.694809271881493,0.7012797765041653
19,0.5980120017977697,0.004804555439255446,0.6785171149124982,0.27266363659563736,24.68234614972053,0.6997769904764075
20,0.6044146489670018,0.00490018014838968,0.631423405600722,0.22885795942399342,24.695129844887987,0.702583507801357
21,0.5786853310395357,0.004936727687508162,0.6298921520271988,0.21346989730627697,24.75586073153898,0.7074331735309801
22,0.5490060499893705,0.004824804257001041,0.6512346433051975,0.20045215914745013,24.75565855849293,0.708138864918759
23,0.5855416168907331,0.004745157957414018,0.6328865320196062,0.22603445382560827,24.69939844854252,0.7047698278176157
24,0.5648038934525846,0.004822613219853098,0.6416341136280971,0.2094016002964299,24.741941593290125,0.7100908997811769
25,0.5539416429700901,0.004867184420030466,0.6440503486073665,0.20153379535671587,24.77493918995862,0.7114076797899447
26,0.5606806048609791,0.004765539934895442,0.6561146905886126,0.21461917849774,24.78233089849461,0.7124061742895528
27,0.547404204570409,0.004772546137070381,0.6762668016593252,0.2239221993852599,24.77446023558543,0.7110498905181885
28,0.5393478648382342,0.004829939161657086,0.6691903647398274,0.20287736810809115,24.781673387552296,0.7118246243188255
29,0.5438862322904033,0.0047500526971232734,0.672974876729266,0.22194345431149604,24.78635620247826,0.7130421398501647
30,0.529135785082414,0.0048021304664986305,0.687271099805515,0.22904826521336466,24.791170741570255,0.7141538232564926
31,0.5357093820721581,0.004713765694392159,0.695500068554774,0.23272339921623214,24.803893300915256,0.7146715263002797
32,0.5566751552377471,0.004697751157218591,0.6982369350553103,0.24772862054041378,24.796940098000732,0.7147095710039139
33,0.5583975588013578,0.004802656715650013,0.6813224821928822,0.24084121985345341,24.790408567845077,0.7123673862532566
34,0.5513580443505824,0.004675598431311205,0.6741502591451248,0.22841555752203643,24.72924742088479,0.7105738370042098
35,0.5570655816288783,0.004789895942667499,0.6710708747833637,0.22806642011353373,24.80542199490003,0.7129707444655268
36,0.5426030966660308,0.004673389249701837,0.6812948173479829,0.22273743145656869,24.782042698847487,0.7118590591769469
37,0.5610066842690972,0.004757302626216858,0.6708091644511303,0.2374837012848495,24.780230216299977,0.712053971384701
38,0.5721261225490036,0.004687176409030431,0.6844470650076447,0.2522366388633028,24.76827764699145,0.7112713085977654
39,0.5608732463030313,0.0047511116581919945,0.6849552803377795,0.2497790726202781,24.789155726303925,0.7120646632031391
40,0.5428403313241736,0.004681511431668983,0.694453242267443,0.24401405671572662,24.810224650408223,0.7140415811224987
